test,class0,class1,class2,class3,class4
2.0,0.00022139156877915432,0.2600847119804752,0.1629216772976315,0.38760285524904536,0.18916936390406863
4.0,5.836304386901253e-05,0.23023746013089988,0.4635238509333983,0.12215193945750426,0.1840283864343286
1.0,0.0008350937147931655,0.13578154064788397,0.5446555318020158,0.17826001601400912,0.14046781782129802
0.0,0.8547631270137485,0.05159797779900709,0.05733979261080383,0.000800316185272225,0.03549878639116849
0.0,0.6714456527093717,0.07295181757663569,0.1469137220494241,0.04836030146975889,0.060328506194809506
4.0,0.0020062669404733897,0.008453029434211822,0.3145064726498878,0.0004216993522461179,0.6746125316231809
0.0,0.13230713319506662,0.10968345989182246,0.2554402005388673,0.2588711810257493,0.24369802534849433
2.0,0.00010741868134215553,0.3733136034724128,0.5150086792338907,0.06429978978435741,0.04727050882799695
2.0,0.031072853160133772,0.03908165004736447,0.7299008728605005,0.1000827702607869,0.09986185367121432
1.0,0.012127750676942434,0.5226369393387709,0.07905900649116493,0.14757763216317657,0.23859867132994503
0.0,0.8713009217400224,0.036052322658642624,0.03297440965045068,0.0001678840118258744,0.05950446193905832
2.0,0.0029975952695004762,0.4863539020586144,0.22115206257773476,0.022252444736452,0.2672439953576984
0.0,0.7880098228975729,0.050916956485402225,0.04660421332295572,0.00048606743108198626,0.11398293986298713
3.0,0.01282108250571015,0.2595166319598775,0.09121978184974998,0.44284248467743015,0.19360001900723223
1.0,0.00025436408569023446,0.07325059166736783,0.5055100443448328,0.39138039359823007,0.02960460630387906
0.0,0.8743418764760911,0.018248492271307478,0.01897901495317682,0.00239069927913749,0.08603991702028703
2.0,8.545568641169193e-06,0.28184403239003325,0.5054839763117305,0.09693156888960834,0.1157318768399868
0.0,0.9897131404472084,0.00933170158710826,0.000348892728882105,2.4198886877200153e-06,0.0006038453481135283
0.0,0.9999985588761237,1.6293144521086988e-07,5.613244903211676e-07,1.0524773844736857e-07,6.116202024041272e-07
2.0,1.500023389725209e-07,5.7793557014562445e-05,0.3619299117514099,0.6103483871364946,0.027663757552741815
2.0,0.00032313306046270366,0.272770624284982,0.07524261799861139,0.00025529254290207465,0.6514083321130418
0.0,0.863465426061309,0.027964279597334014,0.052440555042071,0.0001538695570470602,0.055975869742238754
1.0,0.00044894920150387476,0.8456432655107737,0.09616364331469929,0.03542888309807254,0.022315258874950398
2.0,1.2720002364257188e-06,0.10523851751345979,0.17716366010449175,0.41876841072711724,0.2988281396546948
